,IDsensore,DataOra,Misura,Valido
345,8140,2018-01-19 06:00:00.000,6.2,100
346,8140,2018-01-19 07:00:00.000,5.3,100
347,8140,2018-01-19 08:00:00.000,2.8,100
348,8140,2018-01-19 09:00:00.000,2.6,100
349,8140,2018-01-19 10:00:00.000,3.1,100
350,8140,2018-01-19 11:00:00.000,5.4,100
351,8140,2018-01-19 12:00:00.000,7.5,100
352,8140,2018-01-19 13:00:00.000,8.9,100
353,8140,2018-01-19 14:00:00.000,9.2,100
354,8140,2018-01-19 15:00:00.000,8.8,100
355,8140,2018-01-19 16:00:00.000,8.7,100
356,8140,2018-01-19 17:00:00.000,7.6,100
357,8140,2018-01-19 18:00:00.000,5.7,100
358,8140,2018-01-19 19:00:00.000,4.0,100
359,8140,2018-01-19 20:00:00.000,2.8,100
360,8140,2018-01-19 21:00:00.000,1.7,100
361,8140,2018-01-19 22:00:00.000,2.0,100
362,8140,2018-01-19 23:00:00.000,2.2,100
363,8140,2018-01-20 00:00:00.000,2.5,100
364,8140,2018-01-20 01:00:00.000,2.8,100
365,8140,2018-01-20 02:00:00.000,3.4,100
366,8140,2018-01-20 03:00:00.000,4.6,100
367,8140,2018-01-20 04:00:00.000,3.9,100
368,8140,2018-01-20 05:00:00.000,2.6,100
369,8140,2018-01-20 06:00:00.000,1.5,100
370,8140,2018-01-20 07:00:00.000,1.2,100
371,8140,2018-01-20 08:00:00.000,0.7,100
372,8140,2018-01-20 09:00:00.000,0.9,100
373,8140,2018-01-20 10:00:00.000,2.4,100
374,8140,2018-01-20 11:00:00.000,2.7,100
375,8140,2018-01-20 12:00:00.000,6.3,100
376,8140,2018-01-20 13:00:00.000,7.3,100
377,8140,2018-01-20 14:00:00.000,6.3,100
378,8140,2018-01-20 15:00:00.000,6.4,100
379,8140,2018-01-20 16:00:00.000,6.3,100
380,8140,2018-01-20 17:00:00.000,5.6,100
381,8140,2018-01-20 18:00:00.000,4.0,100
382,8140,2018-01-20 19:00:00.000,2.3,100
383,8140,2018-01-20 20:00:00.000,2.0,100
384,8140,2018-01-20 21:00:00.000,2.1,100
385,8140,2018-01-20 22:00:00.000,1.8,100
386,8140,2018-01-20 23:00:00.000,2.1,100
387,8140,2018-01-21 00:00:00.000,2.5,100
388,8140,2018-01-21 01:00:00.000,3.0,100
389,8140,2018-01-21 02:00:00.000,3.5,100
390,8140,2018-01-21 03:00:00.000,3.5,100
391,8140,2018-01-21 04:00:00.000,2.9,100
392,8140,2018-01-21 05:00:00.000,2.5,100
393,8140,2018-01-21 06:00:00.000,2.7,100
394,8140,2018-01-21 07:00:00.000,2.4,100
395,8140,2018-01-21 08:00:00.000,1.1,100
396,8140,2018-01-21 09:00:00.000,1.3,100
397,8140,2018-01-21 10:00:00.000,2.9,100
398,8140,2018-01-21 11:00:00.000,3.5,100
399,8140,2018-01-21 12:00:00.000,6.0,100
400,8140,2018-01-21 13:00:00.000,7.3,100
401,8140,2018-01-21 14:00:00.000,8.4,100
402,8140,2018-01-21 15:00:00.000,10.1,100
403,8140,2018-01-21 16:00:00.000,11.7,100
404,8140,2018-01-21 17:00:00.000,9.9,100
405,8140,2018-01-21 18:00:00.000,6.6,100
406,8140,2018-01-21 19:00:00.000,5.4,100
407,8140,2018-01-21 20:00:00.000,5.4,100
408,8140,2018-01-21 21:00:00.000,7.2,100
409,8140,2018-01-21 22:00:00.000,6.7,100
410,8140,2018-01-21 23:00:00.000,3.8,100
411,8140,2018-01-22 00:00:00.000,3.0,100
412,8140,2018-01-22 01:00:00.000,2.9,100
413,8140,2018-01-22 02:00:00.000,2.3,100
414,8140,2018-01-22 03:00:00.000,2.1,100
415,8140,2018-01-22 04:00:00.000,2.3,100
416,8140,2018-01-22 05:00:00.000,3.0,100
417,8140,2018-01-22 06:00:00.000,2.4,100
418,8140,2018-01-22 07:00:00.000,1.7,100
419,8140,2018-01-22 08:00:00.000,1.8,100
420,8140,2018-01-22 09:00:00.000,2.8,100
421,8140,2018-01-22 10:00:00.000,3.6,100
422,8140,2018-01-22 11:00:00.000,5.3,100
423,8140,2018-01-22 12:00:00.000,7.2,100
424,8140,2018-01-22 13:00:00.000,8.8,100
425,8140,2018-01-22 14:00:00.000,9.0,100
426,8140,2018-01-22 15:00:00.000,8.4,100
427,8140,2018-01-22 16:00:00.000,7.2,100
